row_id,PCGDP,PCRS,FSR,TIG,RUUR,HBTP,IPR,URIR,GCR,WEI,SDEI,EPES,UGPR,UWPR,PCURA,REPC
139,0.203091,0.258052,0.259905,0.367711,0.264706,0.559051,0.534483,0.629869,0.731861,0.868954,0.930996,0.487853,0.952286,0.950355,0.924875,0.014325
140,0.214362,0.236076,0.247314,0.369217,0.205882,0.534586,0.534483,0.669892,0.753943,0.868954,0.962574,0.418356,0.964677,0.965156,0.949082,0.033925
141,0.252658,0.241426,0.291091,0.297602,0.147059,0.527596,0.534483,0.700608,0.753943,0.868954,0.972836,0.418166,0.967953,0.989516,0.926127,0.039393
142,0.283521,0.240698,0.254596,0.260347,0.147059,0.535605,0.534483,0.721144,0.760252,0.868954,0.97782,0.472456,0.978351,0.999692,1.0,0.032352
143,0.295745,0.243436,0.251229,0.276806,0.147059,0.569099,0.534483,0.74602,0.766562,0.868954,0.979363,0.588551,0.95428,0.97934,0.965359,0.052086
144,0.307211,0.257285,0.256978,0.352742,0.147059,0.569099,0.534483,0.765598,0.766562,0.868954,0.979363,0.588551,0.95428,0.97934,0.965359,0.052086
145,0.023645,0.024748,0.420714,0.246856,0.147059,0.045143,0.051724,0.501608,0.567823,0.683324,0.850975,0.3655,0.760006,0.82732,0.396912,0.00465
146,0.035197,0.039132,0.423883,0.222465,0.205882,0.045143,0.051724,0.562698,0.564669,0.765226,0.879077,0.415161,0.823387,0.849214,0.421953,0.005323
147,0.045088,0.051025,0.382626,0.220103,0.205882,0.072958,0.051724,0.55832,0.602524,0.78745,0.89743,0.321973,0.837915,0.853531,0.453673,0.006045
148,0.064182,0.073071,0.428692,0.177658,0.264706,0.100626,0.051724,0.619586,0.611987,0.836344,0.916888,0.277409,0.864976,0.878508,0.499583,0.007021
149,0.088593,0.097683,0.427461,0.152339,0.264706,0.131935,0.12069,0.620202,0.675079,0.817572,0.932718,0.274098,0.905284,0.893617,0.582638,0.007975
150,0.103993,0.119059,0.438162,0.158316,0.264706,0.240862,0.189655,0.638466,0.652997,0.837729,0.941387,0.26239,0.92323,0.938945,0.602254,0.009079
151,0.120814,0.141464,0.465756,0.179092,0.352941,0.269987,0.275862,0.668581,0.687697,0.855258,0.949618,0.275975,0.945022,0.950663,0.649833,0.010098
152,0.135225,0.164088,0.464152,0.202762,0.411765,0.30348,0.293103,0.697217,0.728707,0.871088,0.954717,0.234677,0.954565,0.957755,0.679883,0.011117
153,0.144808,0.24457,0.456062,0.266032,0.441176,0.334061,0.327586,0.703634,0.728707,0.877043,0.958333,0.257564,0.965105,0.962689,0.700334,0.012246
154,0.16293,0.280253,0.473512,0.305802,0.411765,0.362313,0.413793,0.704256,0.744479,0.926452,0.978641,0.263766,0.972226,0.975331,0.74207,0.013061
155,0.187459,0.320395,0.439008,0.338433,0.5,0.41197,0.413793,0.707402,0.760252,0.926452,0.986417,0.394813,0.979633,0.982424,0.757513,0.01435
156,0.21909,0.364535,0.450887,0.378745,0.529412,0.455803,0.413793,0.716663,0.769716,0.926452,0.990146,0.391973,0.97949,0.992291,0.789232,0.015615
157,0.239499,0.401347,0.413307,0.390533,0.588235,0.49483,0.413793,0.725739,0.776025,0.926452,0.991565,0.565766,0.981484,0.980265,0.820117,0.016867
158,0.247893,0.40786,0.413045,0.394079,0.529412,0.672928,0.413793,0.751057,0.753943,0.926452,0.994143,0.286161,0.989175,0.987666,0.845159,0.024907
159,0.280858,0.477862,0.447452,0.393007,0.617647,0.679336,0.413793,0.764196,0.820189,0.926452,0.995892,0.298567,0.992594,0.994141,0.822204,0.026741
160,0.295432,0.472443,0.410782,0.39824,0.617647,0.755206,0.413793,0.778644,0.858044,0.926452,0.996751,0.259613,0.991739,0.992599,0.856845,0.029735
161,0.313319,0.502484,0.441704,0.408596,0.617647,0.779088,0.413793,0.803853,0.883281,0.926452,0.996843,0.233606,0.996154,0.95128,0.865192,0.034515
162,0.339926,0.52739,0.434411,0.440453,0.617647,0.779088,0.413793,0.82138,0.883281,0.926452,0.996843,0.233606,0.996154,0.95128,0.865192,0.034515
163,0.075099,0.102711,0.763049,0.076925,0.411765,0.196156,0.258621,0.601068,0.646688,0.821802,0.833959,0.109767,0.958268,0.962689,0.610184,0.01919
164,0.095663,0.134753,0.743726,0.082668,0.264706,0.196156,0.258621,0.594732,0.684543,0.849487,0.870786,0.221364,0.978636,0.98119,0.649416,0.019002
165,0.106648,0.160877,0.686512,0.106431,0.352941,0.240134,0.258621,0.591615,0.728707,0.852298,0.888569,0.248905,0.988178,0.983657,0.705342,0.019921
166,0.126236,0.193883,0.675746,0.141987,0.352941,0.284112,0.258621,0.618729,0.73817,0.856579,0.906174,0.314823,0.99003,0.986741,0.759182,0.02142
167,0.148841,0.231523,0.706872,0.172217,0.352941,0.332023,0.310345,0.66563,0.73817,0.885072,0.90318,0.240032,0.992594,0.991983,0.817195,0.022657
