row_id,year,id,GDP（亿元）,地方一般公共预算支出（亿元）,环境保护支出（亿元）,占比
237,2014,广西,15672.89,3479.7922,83.9981,0.0241388264506139
238,2014,海南,3500.72,1099.7444,23.2786,0.0211672821430143
239,2014,重庆,14262.6,3304.3884,105.5083,0.0319297513573162
240,2014,四川,28536.66,6796.6109,168.6939,0.0248202968335292
241,2014,贵州,9266.39,3542.8029,85.3406,0.0240884413863385
242,2014,云南,12814.59,4437.9771,108.8821,0.0245341734638514
243,2014,西藏,920.83,1185.5107,29.2349,0.0246601738811805
244,2014,陕西,17689.94,3962.5042,112.5076,0.0283930550786546
245,2014,甘肃,6836.82,2541.4935,73.2115,0.0288064872091941
246,2014,青海,2303.32,1347.4303,56.7286,0.042101324276291
247,2014,宁夏,2752.1,1000.4526,34.5962,0.0345805488435934
248,2014,新疆,9273.46,3317.7872,70.8598,0.021357548187539
249,2015,北京,23014.59,5737.7,303.26,0.0528539310176552
250,2015,天津,16538.19,3232.35,73.1,0.0226151252184943
251,2015,河北,29806.11,5632.19,282.72,0.0501971701948976
252,2015,山西,12766.49,3422.97,99.46,0.0290566379489157
253,2015,内蒙古,17831.51,4252.96,175.25,0.0412065949362326
254,2015,辽宁,28669.02,4481.61,116.79,0.0260598311767423
255,2015,吉林,14063.13,3217.1,117.7,0.0365857449255541
256,2015,黑龙江,15083.67,4020.66,155.52,0.0386802166808434
257,2015,上海,25123.45,6191.56,104.35,0.0168535877872459
258,2015,江苏,70116.38,9687.58,308.45,0.0318397370653971
259,2015,浙江,42886.49,6645.98,167.89,0.0252618876373387
260,2015,安徽,22005.63,5239.01,124.83,0.0238270207539211
261,2015,福建,25979.82,4001.58,95.57,0.0238830661888554
262,2015,江西,16723.78,4412.55,87.43,0.0198139397853849
263,2015,山东,63002.33,8250.01,217.08,0.0263126953785511
264,2015,河南,37002.16,6799.35,177.77,0.0261451462272129
265,2015,湖北,29550.19,6132.84,145.84,0.023780173622661
266,2015,湖南,28902.21,5728.72,149.0,0.0260093005069195
267,2015,广东,72812.55,12827.8,322.33,0.0251274575531268
268,2015,广西,16803.12,4065.51,98.68,0.0242724774997479
269,2015,海南,3702.76,1239.43,31.54,0.0254471813656277
270,2015,重庆,15717.27,3792.0,140.73,0.0371123417721519
271,2015,四川,30053.1,7497.51,169.31,0.0225821639450964
272,2015,贵州,10502.56,3939.5,96.49,0.024492955958878
273,2015,云南,13619.17,4712.83,134.08,0.0284499971354791
274,2015,西藏,1026.39,1381.46,56.83,0.0411376369927468
275,2015,陕西,18021.86,4376.06,150.77,0.0344533667271473
276,2015,甘肃,6790.32,2958.31,95.35,0.032231240133725
277,2015,青海,2417.05,1515.16,87.36,0.0576572771192481
278,2015,宁夏,2911.77,1138.49,45.49,0.0399564335215944
279,2015,新疆,9324.8,3804.87,71.51,0.0187943346290412
280,2016,北京,25669.13,6406.77,363.38,0.056718127855378
281,2016,天津,17885.39,3699.43,65.63,0.0177405708446977
282,2016,河北,32070.45,6049.53,262.8,0.0434413913146972
283,2016,山西,13050.41,3428.86,115.54,0.0336963305588446
284,2016,内蒙古,18128.1,4512.71,159.39,0.0353202399445123
285,2016,辽宁,22246.9,4577.47,87.24,0.0190585629179438
286,2016,吉林,14776.8,3586.09,122.14,0.0340593794355412
287,2016,黑龙江,15386.09,4227.34,113.44,0.0268348417681095
288,2016,上海,28178.65,6918.94,134.41,0.0194263861227298
289,2016,江苏,77388.28,9981.96,285.11,0.0285625267983442
290,2016,浙江,47251.36,6974.26,161.4,0.0231422401803202
291,2016,安徽,24407.62,5522.95,133.64,0.0241972134457129
292,2016,福建,28810.58,4275.4,130.35,0.0304883753566918
293,2016,江西,18499.0,4617.4,117.88,0.0255295187768008
294,2016,山东,68024.49,8755.21,239.28,0.0273300126439
295,2016,河南,40471.79,7453.74,195.72,0.0262579590916775
296,2016,湖北,32665.38,6422.98,145.64,0.0226748331771234
297,2016,湖南,31551.37,6339.16,170.85,0.0269515203907142
298,2016,广东,80854.91,13446.09,297.45,0.0221216725456992
299,2016,广西,18317.64,4441.7,90.7,0.0204201094175653
