row_id,全国主要城市间公路里程表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
55,山西省,0.000874125874125874,0.00198807157057654,0.000458085203847916,0.00078125,0.000444247001332741,0.000411522633744856,0.000466417910447761,0,0.00446428571428571,0.00202020202020202,0.000527704485488127,0.000974658869395711,0.000705218617771509,0.000651465798045603,0.0008244023083264,0.0006858710562414,0.0008196721311475,0.0016977928692699,0.0011173184357541,0.0006648936170212,0.0018587360594795,0.0,0.0013869625520111,0.0006402048655569,0.0006031363088057,0.0017953321364452,0.0002626050420168,0.0003013863773357,0.0003669724770642,0.0006389776357827,0.0006127450980392
56,陕西省,0.00101317122593718,0.000816993464052288,0.000494315373208107,0.00144717800289436,0.000491883915395967,0.000482392667631452,0.000702740688685875,0,0.00105820105820106,0.0018450184501845,0.000382262996941896,0.00115473441108545,0.000833333333333333,0.000443262411347518,0.000870322019147,0.0007704160246533,0.0005151983513652,0.0008680555555555,0.0014705882352941,0.0010928961748633,0.0010245901639344,0.0013869625520111,0.0,0.000667556742323,0.0010672358591248,0.0007836990595611,0.0003565062388591,0.0003664345914254,0.0004990019960079,0.0006662225183211,0.0010964912280701
57,上海市,0.00195694716242661,0.000671140939597315,0.000903342366757001,0.000456829602558246,0.000604960677555959,0.000455580865603645,0.000471475719000471,0,0.000747384155455904,0.00091324200913242,0.000362450163102573,0.00108813928182807,0.000817661488143908,0.000416840350145894,0.0028653295128939,0.001194743130227,0.0004798464491362,0.0004835589941972,0.0004591368227731,0.0004144218814753,0.0009680542110358,0.0006402048655569,0.000667556742323,0.0,0.0004147656574035,0.0007246376811594,0.0002323960027887,0.0002365744026496,0.0003589375448671,0.0046948356807511,0.0004651162790697
58,四川省,0.000499001996007984,0.000462748727441,0.000377500943752359,0.000922509225092251,0.000454545454545455,0.000670690811535882,0.00118906064209275,0,0.00053134962805526,0.000676132521974307,0.000281452293836195,0.000670241286863271,0.000570776255707763,0.000313185092389602,0.0004616805170821,0.0005197505197505,0.0003474635163307,0.0004786979415988,0.0006199628022318,0.0007645259938837,0.0005227391531625,0.0006031363088057,0.0010672358591248,0.0004147656574035,0.0,0.000451875282422,0.0004651162790697,0.0003203074951953,0.0009140767824497,0.0004224757076468,0.0029411764705882
59,天津市,0.00100401606425703,0.00847457627118644,0.000465766185374942,0.000544365813826892,0.0004212299915754,0.000385059684251059,0.000380228136882129,0,0.003003003003003,0.00136239782016349,0.000725163161711385,0.000838222967309304,0.000630914826498423,0.00098135426889107,0.0009699321047526,0.000667111407605,0.0014204545454545,0.0014367816091954,0.0007293946024799,0.0004852013585638,0.0028818443804034,0.0017953321364452,0.0007836990595611,0.0007246376811594,0.000451875282422,0.0,0.0002531004808909,0.000258064516129,0.0003048780487804,0.0007230657989877,0.0004570383912248
60,西藏自治区,0.000263713080168776,0.000256673511293635,0.000208376745155241,0.000473036896877956,0.00248138957816377,0.000302846759539673,0.0003382949932341,0,0.000276395798783858,0.000298775022408127,0.000190985485103132,0.000274574409665019,0.000256278831368529,0.000202922077922078,0.0002529084471421,0.0002454590083456,0.0002167786689789,0.0002359046945034,0.0003783579265985,0.0005291005291005,0.0002644802962179,0.0002626050420168,0.0003565062388591,0.0002323960027887,0.0004651162790697,0.0002531004808909,0.0,0.000377358490566,0.0004301075268817,0.0002322340919647,0.000392618767177
61,新疆维吾尔自治区,0.000269106566200215,0.000261780104712042,0.00021043771043771,0.000490677134445535,0.000209995800083998,0.000223363859727496,0.000261301280376274,0,0.000282326369282891,0.00030571690614491,0.000193798449612403,0.000278164116828929,0.000254517688979384,0.000206100577081616,0.0002578648788035,0.0002483238142537,0.0002204099625303,0.000308451573103,0.0003895597974289,0.000548245614035,0.0002699055330634,0.0003013863773357,0.0003664345914254,0.0002365744026496,0.0003203074951953,0.000258064516129,0.000377358490566,0.0,0.0002371916508538,0.0002364066193853,0.0003015681544028
62,云南省,0.000404694455685957,0.000309789343246592,0.000371609067261241,0.000459136822773186,0.000586166471277843,0.00102354145342886,0.00140056022408964,0,0.000339097999321804,0.000392772977219167,0.000216450216450216,0.000496524329692155,0.00061652281134402,0.000234741784037559,0.0003797949107481,0.0005081300813008,0.000253485424588,0.0003168567807351,0.0003725782414307,0.0004163197335553,0.000343997248022,0.0003669724770642,0.0004990019960079,0.0003589375448671,0.0009140767824497,0.0003048780487804,0.0004301075268817,0.0002371916508538,0.0,0.0003886513797123,0.0009157509157509
63,浙江省,0.00194552529182879,0.000669792364367046,0.00111856823266219,0.000456204379562044,0.000694444444444444,0.000504540867810293,0.000524109014675052,0,0.000745712155108128,0.000910746812386157,0.000362056480811006,0.00114285714285714,0.00099009900990099,0.000416319733555371,0.002840909090909,0.0016025641025641,0.0004791566842357,0.0004828585224529,0.0004585052728106,0.0004139072847682,0.0009652509652509,0.0006389776357827,0.0006662225183211,0.0046948356807511,0.0004224757076468,0.0007230657989877,0.0002322340919647,0.0002364066193853,0.0003886513797123,0.0,0.0004748338081671
64,重庆市,0.00057372346528973,0.000468164794007491,0.000402414486921529,0.000782472613458529,0.00053475935828877,0.000861326442721792,0.00195694716242661,0,0.00053850296176629,0.000687757909215956,0.000283446712018141,0.000812347684809098,0.000738007380073801,0.000315656565656566,0.0005249343832021,0.0005681818181818,0.0003505082369435,0.000484496124031,0.0006281407035175,0.0006657789613848,0.0005296610169491,0.0006127450980392,0.0010964912280701,0.0004651162790697,0.0029411764705882,0.0004570383912248,0.000392618767177,0.0003015681544028,0.0009157509157509,0.0004748338081671,0.0
