row_id,地区,id,year,年末就业人数（万人）,固定资本存量,能源消耗总量(万吨标准煤),地区GDP（亿元）,工业废水（万吨）,工业二氧化硫（万吨）,一般工业固体废弃物（万吨）,id.1,year.1,规模报酬可变+全局,规模报酬可变+非全局,规模报酬不变+全局,规模报酬不变+非全局,id.2,year.2,规模报酬可变+全局.1,规模报酬可变+非全局.1,规模报酬不变+全局.1,规模报酬不变+非全局.1
73,福建省,13,2013,2210.0,39292.1909424644,11190.0,21868.49,104658.0,34.204,8535.0,13,2013,1.00537857246376,1.11880307953242,1.02333451636225,1.05051903259969,13,2013,0.99888822954819,1.22448574955345,1.03845402483144,1.08367175152444
74,江西省,14,2013,2362.0,22024.400938132,7583.0,14410.19,68230.0,54.3497,11518.0,14,2013,1.00285938823501,0.971823123557241,1.02289578420348,1.02499999436873,14,2013,0.995763410259665,0.932864167759905,1.03161191002366,1.01921285272031
75,山东省,15,2013,5840.0,96717.8589947592,35358.0,55230.32,181179.0,144.5348,18172.0,15,2013,1.10401970518436,1.42616316951074,1.05059400397875,1.08455297328775,15,2013,1.16726145264479,1.57215932752895,1.05964835226139,1.12331537237047
76,河南省,16,2013,5094.0,71038.2678318692,21909.0,32191.3,130789.0,110.2662,16270.0,16,2013,0.999651959036505,1.0951256856716,1.0092427251964,1.04269566717502,16,2013,0.971362240835723,1.1647689860339,0.99095452706464,1.05598599687712
77,湖北省,17,2013,3404.0,40346.6964998394,15703.0,24791.83,84993.0,52.4005,8181.0,17,2013,1.0252901469146,1.14843483240203,1.03846491158151,1.07699184512759,17,2013,1.01839808239665,1.27292675662249,1.04825566834866,1.11847539891707
78,湖南省,18,2013,4036.45,37200.4443115433,14919.0,24621.67,92311.0,58.8696,7806.0,18,2013,1.01830742198231,0.993219850204039,1.02920084685822,0.955405983137458,18,2013,1.00294729487806,0.956452484906869,1.02738045239335,0.932271651777739
79,广东省,19,2013,6273.0,86064.6371155893,28480.0,62474.79,170463.0,73.1995,5912.0,19,2013,1.08100524199679,1.01419409578443,1.01730391495506,0.993065689438137,19,2013,0.354183986799768,1.01671474056428,0.995789308674209,0.91538505313663
80,广西壮族自治区,20,2013,2782.0,33571.7102406462,9100.0,14449.9,89508.0,43.7996,7676.0,20,2013,1.01351584852349,1.04091647752318,1.02980029748628,1.05669093271823,20,2013,0.97831321335384,1.03512645944022,1.00369959750415,1.06411020408009
81,海南省,21,2013,490.56,5931.4649751376,1720.0,3177.56,6744.0,3.1652,415.0,21,2013,0.905358378971753,0.836022056169325,0.990965492397431,1.02881626683954,21,2013,0.802201748052173,0.769581785655732,0.976158350630519,1.05975445254148
82,重庆市,22,2013,1618.69,21223.0431127426,8049.0,12783.26,33451.0,49.4415,3162.0,22,2013,1.038493471136,1.0725527003908,1.06043412488303,1.09713742243645,22,2013,1.04158313242108,1.11265949476437,1.08932693582185,1.16165391822703
83,四川省,23,2013,4634.0,40250.8303225099,19212.0,26392.07,64864.0,74.6363,14007.0,23,2013,1.01542296752931,1.11685135758482,1.02610209132559,0.980072686941104,23,2013,1.02009407242192,1.22500795018933,1.04565559950083,1.00892663408232
