row_id,证券代码,证券简称,统计截止日期,年份,营业收入（亿元）,所属省份,Unnamed: 8
336,2358.0,森源电气,2011-12-31,2011.0,710158450.56,河南省,
337,2535.0,林州重机,2011-12-31,2011.0,1102927300.72,河南省,
338,2560.0,通达股份,2011-12-31,2011.0,965043132.16,河南省,
339,2613.0,北玻股份,2011-12-31,2011.0,855041342.81,河南省,
340,300007.0,汉威电子,2011-12-31,2011.0,261311217.63,河南省,
341,300064.0,豫金刚石,2011-12-31,2011.0,464507916.97,河南省,
342,300080.0,新大新材,2011-12-31,2011.0,1635082870.63,河南省,
343,300179.0,四方达,2011-12-31,2011.0,109824711.45,河南省,
344,300259.0,新天科技,2011-12-31,2011.0,235820738.65,河南省,
345,300263.0,隆华传热,2011-12-31,2011.0,443522857.73,河南省,
346,600172.0,黄河旋风,2011-12-31,2011.0,1019154065.29,河南省,
347,600207.0,ST 安彩,2011-12-31,2011.0,1156447660.31,河南省,
348,600222.0,太龙药业,2011-12-31,2011.0,980781774.05,河南省,
349,600253.0,天方药业,2011-12-31,2011.0,2925103451.14,河南省,
350,600285.0,羚锐制药,2011-12-31,2011.0,448778162.29,河南省,
351,600312.0,平高电气,2011-12-31,2011.0,2525285388.58,河南省,
352,600531.0,豫光金铅,2011-12-31,2011.0,11667991554.08,河南省,
353,600595.0,中孚实业,2011-12-31,2011.0,13185901429.61,河南省,
354,600810.0,神马股份,2011-12-31,2011.0,15264805403.85,河南省,
355,600876.0,洛阳玻璃,2011-12-31,2011.0,920942939.77,河南省,
356,601677.0,明泰铝业,2011-12-31,2011.0,6573460154.73,河南省,
357,,,,,119554813238.12,河南省 汇总,
358,922.0,ST 阿继,2011-12-31,2011.0,121342927.81,黑龙江省,
359,2437.0,誉衡药业,2011-12-31,2011.0,546364548.22,黑龙江省,
360,300040.0,九洲电气,2011-12-31,2011.0,566598817.6,黑龙江省,
361,600187.0,国中水务,2011-12-31,2011.0,305316525.37,黑龙江省,
362,600202.0,哈空调,2011-12-31,2011.0,841740659.98,黑龙江省,
363,600664.0,哈药股份,2011-12-31,2011.0,13486960374.65,黑龙江省,
364,600726.0,华电能源,2011-12-31,2011.0,9738543811.14,黑龙江省,
365,601106.0,中国一重,2011-12-31,2011.0,8749200826.12,黑龙江省,
366,,,,,34356068490.89,黑龙江省 汇总,
367,670.0,S*ST 天发,2011-12-31,2011.0,55683008.59,湖北省,
368,678.0,襄阳轴承,2011-12-31,2011.0,873149219.39,湖北省,
369,821.0,京山轻机,2011-12-31,2011.0,672960553.95,湖北省,
370,852.0,江钻股份,2011-12-31,2011.0,1584602145.74,湖北省,
371,883.0,湖北能源,2011-12-31,2011.0,9607545337.89,湖北省,
372,939.0,凯迪电力,2011-12-31,2011.0,2686728478.7,湖北省,
373,952.0,广济药业,2011-12-31,2011.0,453316737.81,湖北省,
374,966.0,长源电力,2011-12-31,2011.0,7907603137.46,湖北省,
375,988.0,华工科技,2011-12-31,2011.0,2201783887.29,湖北省,
376,2194.0,武汉凡谷,2011-12-31,2011.0,1000463968.92,湖北省,
