row_id,year,id,GDP（亿元）,第一产业增加值（亿元）,第二产业增加值（亿元）,第三产业增加值（亿元）,第一产业占比,第二产业占比,第三产业占比,自2014年开始统计年鉴采用 一二三产业增加值
247,2008,宁夏,1098.51,120.0,581.24,397.27,0.109238878116722,0.529116712638028,0.36164440924525,
248,2008,新疆,4203.41,691.1,2086.74,1425.57,0.164414130432197,0.496439795309047,0.339146074258757,
249,2009,北京,12153.03,118.29,2855.55,9179.19,0.00973337513360866,0.234966094875105,0.755300529991286,
250,2009,天津,7521.85,128.85,3987.84,3405.16,0.0171300943251993,0.530167445508751,0.45270246016605,
251,2009,河北,17235.48,2207.34,8959.83,6068.31,0.1280695402739,0.519848011195511,0.352082448530589,
252,2009,山西,7358.31,477.59,3993.8,2886.92,0.0649048490753991,0.542760497994784,0.392334652929817,
253,2009,内蒙古,9740.25,929.6,5114.0,3696.65,0.0954390287723621,0.525037858371192,0.379523112856446,
254,2009,辽宁,15212.49,1414.9,7906.34,5891.25,0.093009099759474,0.519726882318411,0.387264017922115,
255,2009,吉林,7278.75,980.57,3541.92,2756.26,0.134716812639533,0.486611025244719,0.378672162115748,
256,2009,黑龙江,8587.0,1154.33,4060.72,3371.95,0.134427623151275,0.472891580295796,0.392680796552929,
257,2009,上海,15046.45,113.82,6001.78,8930.85,0.0075645750326489,0.398883457559757,0.593551967407595,
258,2009,江苏,34457.3,2261.86,18566.37,13629.07,0.0656424037867157,0.538822542683263,0.395535053530021,
259,2009,浙江,22990.35,1163.08,11908.49,9918.78,0.0505899214235538,0.517977760234185,0.431432318342261,
260,2009,安徽,10062.82,1495.45,4905.22,3662.15,0.14861142304046,0.487459777676635,0.363928799282905,
261,2009,福建,12236.53,1182.74,6005.3,5048.49,0.0966564867654474,0.490768216152782,0.412575297081771,
262,2009,江西,7655.18,1098.66,3919.45,2637.07,0.143518506423102,0.511999717838117,0.344481775738781,
263,2009,山东,33896.65,3226.64,18901.83,11768.18,0.0951905276775138,0.557631211343894,0.347178260978592,
264,2009,河南,19480.46,2769.05,11010.5,5700.91,0.142145000682735,0.565207392433238,0.292647606884026,
265,2009,湖北,12961.1,1795.9,6038.08,5127.12,0.13856077030499,0.465861693837714,0.395577535857296,
266,2009,湖南,13059.69,1969.69,5687.19,5402.81,0.150822109866314,0.435476646076591,0.413701244057095,
267,2009,广东,39482.56,2010.27,19419.7,18052.59,0.0509153915045022,0.491855138066022,0.457229470429476,
268,2009,广西,7759.16,1458.49,3381.54,2919.13,0.187970089545776,0.435812639512525,0.3762172709417,
269,2009,海南,1654.21,462.19,443.43,748.59,0.279402252434697,0.26806149158813,0.452536255977173,
