row_id,年度,地区,地区编号,人均国内生产总值(现价)(元/人),2000-2020年人均GDP（万元）
526,2016,宁夏回族自治区,30,47194.0,
527,2016,新疆维吾尔自治区,31,40564.0,
528,2017,北京市,1,128994.106271296,
529,2017,天津市,2,118943.568270498,
530,2017,河北省,3,45387.0,
531,2017,山西省,4,42060.0,
532,2017,内蒙古自治区,5,63764.0,
533,2017,辽宁省,6,53526.6544411874,
534,2017,吉林省,7,54838.0,
535,2017,黑龙江省,8,41916.0,
536,2017,上海市,9,126634.15,
537,2017,江苏省,10,107150.0,
538,2017,浙江省,11,92057.0107584245,
539,2017,安徽省,12,43401.3638225585,
540,2017,福建省,13,82677.0,
541,2017,江西省,14,43424.3702923566,
542,2017,山东省,15,72807.1388942587,
543,2017,河南省,16,46674.0,
544,2017,湖北省,17,60199.0,
545,2017,湖南省,18,49558.0,
546,2017,广东省,19,80932.0,
547,2017,广西壮族自治区,20,38102.0,
548,2017,海南省,21,48430.0,
549,2017,重庆市,22,63442.0,
550,2017,四川省,23,44651.32,
551,2017,贵州省,24,37956.0632590738,
552,2017,云南省,25,34221.0,
553,2017,西藏自治区,26,39267.0,
554,2017,陕西省,27,57266.31,
555,2017,甘肃省,28,28496.5010292261,
556,2017,青海省,29,44047.0,
557,2017,宁夏回族自治区,30,50765.0,
558,2017,新疆维吾尔自治区,31,44941.0,
559,2018,北京市,1,140211.241878425,
560,2018,天津市,2,120710.801930383,
561,2018,河北省,3,47772.2206818601,
562,2018,山西省,4,45328.0,
563,2018,内蒙古自治区,5,68302.0,
564,2018,辽宁省,6,58007.5157819965,
565,2018,吉林省,7,55610.9239946435,
566,2018,黑龙江省,8,43274.4055648126,
567,2018,上海市,9,134982.0,
568,2018,江苏省,10,115168.407960199,
569,2018,浙江省,11,98643.4088116553,
570,2018,安徽省,12,47711.6644406284,
571,2018,福建省,13,91197.2491085074,
572,2018,江西省,14,47433.9456548474,
573,2018,山东省,15,76267.2567007163,
574,2018,河南省,16,50152.2229179712,
575,2018,湖北省,17,66615.7035282173,
576,2018,湖南省,18,52948.6035241138,
577,2018,广东省,19,86412.0,
578,2018,广西壮族自治区,20,41489.1652227092,
579,2018,海南省,21,51955.2922454948,
580,2018,重庆市,22,65932.7241879501,
581,2018,四川省,23,48883.1701015442,
582,2018,贵州省,24,41243.5933147632,
583,2018,云南省,25,37136.282450675,
584,2018,西藏自治区,26,43398.0,
585,2018,陕西省,27,63477.4748566204,
586,2018,甘肃省,28,31336.1251610304,
587,2018,青海省,29,47689.4525723606,
588,2018,宁夏回族自治区,30,54094.1674574786,
589,2018,新疆维吾尔自治区,31,49474.717323946,
590,2019,北京市,1,164220.0,
591,2019,天津市,2,90370.63,
592,2019,河北省,3,46347.89,
593,2019,山西省,4,45724.0,
