row_id,province,year,地方财政一般预算收入(亿元)
405,云南省,2022年,1949.46
406,云南省,2023年,2149.44
407,浙江省,2010年,2608.47
408,浙江省,2011年,3150.8
409,浙江省,2012年,3441.23
410,浙江省,2013年,3796.92
411,浙江省,2014年,4122.02
412,浙江省,2015年,4809.94
413,浙江省,2016年,5301.98
414,浙江省,2017年,5804.38
415,浙江省,2018年,6598.21
416,浙江省,2019年,7048.58
417,浙江省,2020年,7248.24
418,浙江省,2021年,8262.64
419,浙江省,2022年,8039.85
420,浙江省,2023年,8600.51
421,重庆市,2010年,952.07
422,重庆市,2011年,1488.33
423,重庆市,2012年,1703.49
424,重庆市,2013年,1693.24
425,重庆市,2014年,1922.02
426,重庆市,2015年,2154.83
427,重庆市,2016年,2227.91
428,重庆市,2017年,2252.38
429,重庆市,2018年,2265.54
430,重庆市,2019年,2134.93
431,重庆市,2020年,2094.85
432,重庆市,2021年,2285.45
433,重庆市,2022年,2103.42
434,重庆市,2023年,2440.77
