row_id,year,region,resilience,weight_method,gi_star_z,p_value,gi_bin,class_95
251,2009,内蒙古,0.398484,4-Nearest Neighbors,2.221045,0.026348,2,Hot Spot
252,2009,北京,0.641868,4-Nearest Neighbors,2.630688,0.008521,3,Hot Spot
253,2009,吉林,0.366573,4-Nearest Neighbors,1.387687,0.165232,0,Not Significant
254,2009,四川,0.321027,4-Nearest Neighbors,-1.875899,0.060669,-1,Not Significant
255,2009,天津,0.469221,4-Nearest Neighbors,2.630688,0.008521,3,Hot Spot
256,2009,宁夏,0.378931,4-Nearest Neighbors,-0.992502,0.320953,0,Not Significant
257,2009,安徽,0.357104,4-Nearest Neighbors,1.502693,0.132918,0,Not Significant
258,2009,山东,0.465555,4-Nearest Neighbors,3.427437,0.000609,3,Hot Spot
259,2009,山西,0.405067,4-Nearest Neighbors,1.335228,0.181802,0,Not Significant
260,2009,广东,0.493153,4-Nearest Neighbors,-0.134334,0.893138,0,Not Significant
261,2009,广西,0.323496,4-Nearest Neighbors,-0.943048,0.345656,0,Not Significant
262,2009,新疆,0.368908,4-Nearest Neighbors,-1.549576,0.121243,0,Not Significant
263,2009,江苏,0.535519,4-Nearest Neighbors,2.298172,0.021552,2,Hot Spot
264,2009,江西,0.358475,4-Nearest Neighbors,0.123852,0.901432,0,Not Significant
265,2009,河北,0.432254,4-Nearest Neighbors,2.630688,0.008521,3,Hot Spot
266,2009,河南,0.335311,4-Nearest Neighbors,-0.664267,0.50652,0,Not Significant
267,2009,浙江,0.501818,4-Nearest Neighbors,2.085279,0.037044,2,Hot Spot
268,2009,海南,0.398496,4-Nearest Neighbors,-0.943048,0.345656,0,Not Significant
269,2009,湖北,0.38964,4-Nearest Neighbors,-1.012144,0.311469,0,Not Significant
270,2009,湖南,0.355425,4-Nearest Neighbors,-1.47433,0.140393,0,Not Significant
271,2009,甘肃,0.314071,4-Nearest Neighbors,-1.242944,0.213889,0,Not Significant
272,2009,福建,0.430698,4-Nearest Neighbors,0.954786,0.339686,0,Not Significant
273,2009,西藏,0.289273,4-Nearest Neighbors,-1.903231,0.05701,-1,Not Significant
274,2009,贵州,0.258266,4-Nearest Neighbors,-2.05586,0.039796,-2,Cold Spot
275,2009,辽宁,0.403443,4-Nearest Neighbors,2.016226,0.043776,2,Hot Spot
276,2009,重庆,0.380043,4-Nearest Neighbors,-1.703048,0.088559,-1,Not Significant
277,2009,陕西,0.387359,4-Nearest Neighbors,-0.530956,0.595449,0,Not Significant
278,2009,青海,0.378346,4-Nearest Neighbors,-1.842014,0.065473,-1,Not Significant
279,2009,黑龙江,0.329343,4-Nearest Neighbors,0.955653,0.339248,0,Not Significant
280,2010,上海,0.510163,Fixed Distance Band,1.578236,0.114511,0,Not Significant
281,2010,云南,0.341853,Fixed Distance Band,-2.288723,0.022095,-2,Cold Spot
282,2010,内蒙古,0.412029,Fixed Distance Band,1.95081,0.05108,1,Not Significant
283,2010,北京,0.644481,Fixed Distance Band,1.885162,0.059408,1,Not Significant
284,2010,吉林,0.409344,Fixed Distance Band,1.943227,0.051989,1,Not Significant
285,2010,四川,0.335661,Fixed Distance Band,-2.985439,0.002832,-3,Cold Spot
286,2010,天津,0.506912,Fixed Distance Band,2.246055,0.024701,2,Hot Spot
287,2010,宁夏,0.408939,Fixed Distance Band,0.482787,0.629247,0,Not Significant
