row_id,admincode,region,zone,year,urb,gov,inno,edu,openpc,fin,dig,pri,inc,soc
920,210000,辽宁,东部,1999,58.7064676616915,10.9763405805787,2.19296256829982,14.2908155168114,45486328.8718929,2.68475681376897,1.19420516836335,17.6864244741874,3742,22.8410456390142
921,210000,辽宁,东部,2000,58.7064676616915,11.095928551541,2.19296256829982,14.2908155168114,45486328.8718929,2.7392859437579,1.19420516836335,17.6864244741874,4024,22.8410456390142
922,210000,辽宁,东部,2001,58.7064676616915,12.6250223520296,2.19296256829982,14.2908155168114,47227348.5932284,2.60873020603604,1.19420516836335,20.0286123032904,4615,22.8410456390142
923,210000,辽宁,东部,2002,58.7064676616915,12.6583855483493,2.19296256829982,14.2908155168114,51724125.6245539,2.51364918837712,1.19420516836335,23.3166785629312,5206,22.8410456390142
924,210000,辽宁,东部,2003,58.7064676616915,13.2803955098793,2.19296256829982,14.2908155168114,62967149.6437055,2.4075986658314,1.19420516836335,27.0783847980998,5797,22.8410456390142
925,210000,辽宁,东部,2004,58.7064676616915,14.3961173452039,2.19296256829982,14.2908155168114,81600336.7322741,2.75433552814616,1.19420516836335,32.4875503912734,6388,22.8410456390142
926,210000,辽宁,东部,2005,58.7064676616915,16.5871529308065,2.19296256829982,14.2908155168114,97164806.917792,2.79721242838255,1.19420516836335,39.09026297086,6979,22.8410456390142
927,210000,辽宁,东部,2006,58.9791617888082,16.957081391607,2.19296256829982,14.2908155168114,113299555.139312,3.14887429531721,1.19420516836335,44.2519316319363,7937,22.8410456390142
928,210000,辽宁,东部,2007,59.1903210795719,17.1419132935621,2.19296256829982,14.2908155168114,138376791.530945,3.34816657274441,1.19420516836335,49.3252675663099,9421,22.8410456390142
929,210000,辽宁,东部,2008,60.0463499420626,17.7416644009985,2.27636839832268,14.2266059263593,167865235.225956,3.20736218558705,1.19420516836335,55.6199304750869,11125,21.8242524716383
930,210000,辽宁,东部,2009,60.3547569684404,20.9304993094408,2.14323793333557,12.9261591342049,144976682.791983,3.5253634214284,1.19725220804711,61.5065653075328,12183,19.3137463232416
931,210000,辽宁,东部,2010,62.1028571428571,22.9976324633176,2.15594119819014,12.6850072907736,184484909.714286,3.84634758892655,1.35109052306504,70.4,13953,18.1437002083972
932,210000,辽宁,东部,2011,64.0557204841288,23.8818335789274,2.23254861297797,13.9301304453576,219310004.567253,3.8710111342778,1.46652864044168,76.9582096369034,16429,16.8301394062752
933,210000,辽宁,东部,2012,65.6457142857143,25.5403224902794,2.22086215255156,15.9871802465236,237920000.0,4.52024248400435,1.50325705695674,85.4857142857143,18761,15.9634887103249
934,210000,辽宁,东部,2013,66.4604810996563,27.0574944816959,2.28940512792886,12.881006345456,262263892.325315,5.35535796093457,1.84298360179945,89.5761741122566,20818,15.8545970885555
935,210000,辽宁,东部,2014,67.0491050940798,25.3698497430801,2.14191938179191,11.898261781836,261583880.220284,6.08268375137948,1.95429945880938,105.323542909592,22820,17.6343226736004
936,210000,辽宁,东部,2015,68.0497925311203,22.1748811249709,1.53784019582248,13.6165351291165,221178250.345781,7.68766421082319,2.15071151358344,124.250806823421,24576,22.2040739823412
937,210000,辽宁,东部,2016,68.8698867575688,22.4468309427486,1.34594000616061,13.8495719251027,200039045.52808,8.09317150913326,2.24839400428265,137.508666512595,26040,25.0245222797746
938,210000,辽宁,东部,2017,69.4805194805195,22.4930622781542,1.17595943780203,13.2814965713138,230971901.669759,8.09431613884663,2.48315688161694,161.641929499072,27835,27.4733472420902
939,210000,辽宁,东部,2018,70.26334187835,22.7035579847302,1.40603103947004,12.2501742316944,267073260.312281,7.8968971310691,2.5518341307815,184.10626893498,29701,27.4193850557916
940,210000,辽宁,东部,2019,71.2181435585691,23.1141446693462,1.28857859493933,12.2257440701538,246247458.498948,7.99869645508202,2.74054810962192,206.453121346738,31820,25.0875095081191
941,210000,辽宁,东部,2020,72.1504112808461,24.0457151538898,1.20897812998302,12.323396245866,222863266.745006,8.25423606835283,2.91526845637584,206.453121346738,32738,27.5787016329768
942,210000,辽宁,东部,2021,72.8068101205959,21.3250512341537,1.33436295012425,11.968274649145,281910617.167179,7.61348591740873,3.03493449781659,206.453121346738,35112,28.0576812190753
943,210000,辽宁,东部,2022,73.004527043126,21.7213913779526,1.1874284308856,11.9127739190568,282725756.492733,7.46510974429423,3.11020960108181,206.453121346738,36089,28.9727745898301
944,210000,辽宁,东部,2023,73.50549976088,21.7640204704496,1.20049644246652,11.2169532668774,260784313.72549,7.19875270611134,3.41578327444052,206.453121346738,37992,29.9718013378394
945,210000,辽宁,东部,2024,73.50549976088,21.0138075044385,1.20049644246652,11.2169532668774,258122743.68231,7.19875270611134,3.41578327444052,206.453121346738,39844,29.9718013378394
