row_id,id,field_002,year,energy_consumption,population,field_006,energy_consumption_2,energy_consumption_3
302,2,天津,2010,6818.0,1299.29,9224.46,5.24748131671913,0.739121856455554
303,3,河北,2010,27531.0,7193.6,20394.26,3.82715191281139,1.34993865921097
304,4,山西,2010,16808.0,3574.1145,9200.86,4.70270328496751,1.82678575698359
305,5,内蒙古,2010,16820.0,2472.1786,11672.0,6.80371555679675,1.44105551747772
306,6,辽宁,2010,20947.0,4374.9,18457.27,4.78799515417495,1.13489156305347
307,7,吉林,2010,8297.0,2746.6021,8667.58,3.02082343853156,0.957245274921028
308,8,黑龙江,2010,11234.0,3833.4024,10368.6,2.93055589467988,1.0834635341319
309,9,上海,2010,11201.0,2302.6608,17165.98,4.86437255543674,0.652511537354698
310,10,江苏,2010,25774.0,7869.34,41425.48,3.27524290474169,0.622177461794046
311,11,浙江,2010,16865.0,5446.51,27722.31,3.09647829527532,0.608354787173219
312,12,安徽,2010,9707.0,5956.7096,12359.33,1.62959094060922,0.78539856124887
313,13,福建,2010,9809.0,3693.0,14737.12,2.65610614676415,0.665598163006069
314,14,江西,2010,6355.0,4462.2489,9451.26,1.42416977233162,0.672397119537501
315,15,山东,2010,34808.0,9587.8641,39169.92,3.63042275494914,0.888641079685636
316,16,河南,2010,21438.0,9405.4697,23092.36,2.27931200501342,0.928358989726472
317,17,湖北,2010,15138.0,5727.9143,15967.61,2.6428468037659,0.948044196971244
318,18,湖南,2010,14880.0,6570.1,16037.96,2.26480571071978,0.927798797353279
319,19,广东,2010,26908.0,10440.9641,46013.06,2.57715664399229,0.584790492090724
320,20,广西,2010,7919.0,4610.0,9569.85,1.7177874186551,0.82749468382472
321,21,海南,2010,1359.0,868.5512,2064.5,1.56467459834262,0.658270767740373
322,22,重庆,2010,7856.0,2884.62,7925.58,2.72340897587897,0.991220831787705
323,23,四川,2010,17892.0,8044.92,17185.48,2.22401217165615,1.0411114498984
324,24,贵州,2010,8175.0,3478.9408,4602.16,2.3498531507061,1.77633980565647
325,25,云南,2010,8674.0,4601.6,7224.18,1.88499652294854,1.20068990529029
326,26,陕西,2010,8882.0,3735.2267,10123.48,2.3779011860244,0.877366281160234
327,27,甘肃,2010,5923.0,2559.98,4120.75,2.31368995070274,1.43735970393739
328,28,青海,2010,2568.0,563.47,1350.43,4.55747422223011,1.9016165221448
