row_id,province,province_2,region,year,gdp,primary_industry,primary_industry_2,tertiary_industry,tertiary_industry_2,secondary_industry,secondary_industry_2,industrial_structure,industrial_structure_2
166,330000,浙江省,浙江,2005,13028.33,881.47,6.8,5193.19,39.9,6953.67,53.4,0.746827214981441,2.333
167,340000,安徽省,安徽,2005,5675.85,966.49,17.0,2511.95,44.3,2197.4,38.7,1.14314644579958,2.273
168,350000,福建省,福建,2005,6415.47,792.53,12.3,2527.02,39.4,3095.92,48.3,0.816242021757668,2.271
169,360000,江西省,江西,2005,3941.23,717.69,18.21,1388.89,35.24,1834.65,46.55,0.757032676532309,2.1703
170,370000,山东省,山东,2005,15947.51,1928.17,12.1,5178.21,32.5,8841.13,55.4,0.585695493675582,2.204
171,410000,河南省,河南,2005,10243.47,1844.04,18.0,3197.16,31.21,5202.27,50.79,0.614570178018442,2.1321
172,420000,湖北省,湖北,2005,6469.66,1069.81,16.5,2641.02,40.8,2758.83,42.7,0.957297115081393,2.243
173,430000,湖南省,湖南,2005,6369.87,1078.34,16.9,2801.36,44.0,2490.17,39.1,1.12496737170555,2.271
174,440000,广东省,广东,2005,21962.99,1395.23,6.4,9518.55,43.3,11049.21,50.3,0.861468828993204,2.369
175,450000,广西壮族自治区,广西,2005,3742.14,904.8,24.2,1513.09,40.4,1324.25,35.4,1.14260147253162,2.162
176,460000,海南省,海南,2005,884.87,289.86,32.8,365.18,41.2,229.83,26.0,1.58891354479398,2.084
177,500000,重庆市,重庆,2005,3448.35,455.08,13.2,1434.1,41.6,1559.17,45.2,0.919784244181199,2.284
178,510000,四川省,四川,2005,7195.88,1403.24,19.5,2831.45,39.3,2961.19,41.2,0.956186533116754,2.198
179,520000,贵州省,贵州,2005,1939.94,362.49,18.4,779.58,40.7,797.87,40.9,0.977076466090967,2.223
180,530000,云南省,云南,2005,3497.69,646.3,18.48,1464.09,41.86,1387.3,39.66,1.05535212282852,2.2338
181,540000,西藏自治区,西藏,2005,243.09,44.89,18.47,137.68,56.64,60.52,24.9,2.27495042961005,2.3819
182,610000,陕西省,陕西,2005,3817.15,418.6,10.97,1590.79,41.6,1807.76,47.36,0.879978536973935,2.3049
183,620000,甘肃省,甘肃,2005,1864.63,304.28,16.32,788.11,42.27,772.24,41.42,1.02055060602921,2.2597
184,630000,青海省,青海,2005,499.42,62.8,12.57,246.33,49.32,190.29,38.1,1.29449787166956,2.3673
185,640000,宁夏回族自治区,宁夏,2005,579.89,69.8,12.0,250.3,43.2,259.8,44.8,0.963433410315627,2.312
