row_id,admincode,region,zone,year,pcgdp,pcrs,fsr,tig,ruur,hbtp,ipr,hesp,gcr,wei,sdei,epes,ugpr,uwpr,pcura,ptvp
711,460000,海南,东部,2000,6798.0,2186.3117870722435,61.135371179039296,43.83067577828398,3.2,,,243.34600760456274,,,,,,,,
712,460000,海南,东部,2001,7315.0,2355.527638190955,55.44717506967317,42.92127071823204,3.4,,,327.8894472361809,,,,,,,,
713,460000,海南,东部,2002,8041.0,2545.454545454546,50.11922826793843,42.16586276645402,3.1,,,432.12951432129523,,,,,,,,
714,460000,海南,东部,2003,8849.0,2362.5154130702836,48.690702087286525,41.1624649859944,3.4,,,536.3748458692971,,,,,,,,
715,460000,海南,东部,2004,9859.0,2691.9315403422984,44.84276729559748,41.24828703126946,3.4,,,707.8239608801956,,41.17976828204809,0.0028653295128939823,,88.24,89.64,14.14,5.62
716,460000,海南,东部,2005,10753.0,3270.5314009661834,45.41126686061889,41.27020002260142,3.6,,,845.4106280193236,,39.8621313142728,0.002486156627867556,,82.56,85.97,14.44,6.49
717,460000,海南,东部,2006,12350.0,3748.803827751196,46.87177724303885,41.37226277372263,3.6,,,1077.751196172249,38.9,34.026277372262776,0.002335766423357664,,70.9,80.4,14.21,7.85
718,460000,海南,东部,2007,14683.0,4389.349112426035,44.163947797716155,42.82009724473257,3.5,,,1281.6568047337278,40.5,28.491896272285253,0.002074554294975689,2.169657422512235,65.37,77.15,12.5,6.8
719,460000,海南,东部,2008,17357.0,5423.887587822014,40.46707824678046,43.29694175086458,3.7,25.31,,1800.0,42.1,24.539228317623923,0.0014918288465450601,1.902394055367768,72.81,83.87,12.05,7.4
720,460000,海南,东部,2009,18860.0,6221.064814814815,36.67036991317944,45.658211442325495,3.5,27.16,,2001.0,41.9,23.154971301610814,0.0013577732518669384,3.8081718306381935,83.68,89.65,13.28,7.77
721,460000,海南,东部,2010,23323.0,7638.665132336017,46.61471772112705,48.012868101954965,3.0,29.0,35.0,2036.0,42.6,18.15837663944568,0.0014253897550111359,2.5613238380293804,82.44,89.43,13.81,8.61
722,460000,海南,东部,2011,28014.0,9241.573033707866,43.672316384180796,46.915334036853636,1.7,31.36,39.0,2079.0,41.8,14.499959412289957,0.0013231593473496223,3.0778120184899844,93.59,96.09,18.42,10.76
723,460000,海南,东部,2012,30993.0,10441.758241758243,44.91098752838199,48.69505986950598,2.0,34.17,44.0,2218.0,41.2,13.301426830142683,0.0012224851222485122,2.328693496550287,92.15,97.74,18.85,11.6
724,460000,海南,东部,2013,34053.0,11857.608695652176,47.56964704253488,52.67819891524118,2.2,35.85,46.0,2253.0,42.1,11.60371000353028,0.0010398279790750666,2.29239395947269,94.59,98.38,18.72,11.48
725,460000,海南,东部,2014,37166.0,13082.264957264957,50.494662374743115,53.03856190200058,2.3,38.17,48.0,2317.0,41.3,11.409394027254276,0.0009452015076833864,2.1168639860330627,96.49,98.1,17.97,11.97
726,460000,海南,东部,2015,39704.0,14914.285714285716,50.64424775905053,53.98746719511542,2.3,42.49,52.0,2290.0,37.7,10.476942852552087,0.0008649777730169783,2.5447181365627745,97.77,98.64,17.37,11.25
727,460000,海南,东部,2016,43009.0,16168.234064785789,46.31451237940254,55.29069483154858,2.4,43.97,52.0,2258.0,40.3,10.781135396802112,0.0003276123416947827,2.7105370219690808,97.34,97.41,17.75,11.35
728,460000,海南,东部,2017,46631.0,17792.18106995885,46.684487904873365,56.44024458032241,2.3,45.31,,2261.0,40.1,,0.00021567537520844913,2.473735603925289,98.32,98.4,18.22,13.54
729,460000,海南,东部,2018,50263.0,18866.598778004074,44.50245373381422,58.47638829494777,2.3,47.97,,2305.0,40.6,,0.0001649459343881728,3.6208833441731216,96.74,97.04,16.81,12.67
730,460000,海南,东部,2019,53929.0,19839.195979899498,43.80393844829442,59.43010429954227,2.3,52.68,,2497.0,41.7,,0.00012943648232910631,3.496179920370172,97.73,98.47,18.24,13.38
731,460000,海南,东部,2020,55438.0,19984.18972332016,41.37270210802754,60.328410764974315,2.8,58.0,,2764.0,40.6,,0.00010599690992059214,2.9323788568589477,98.95,98.02,17.91,12.53
732,460000,海南,东部,2021,63991.0,25364.705882352937,46.72689550921441,61.63496871204317,3.1,60.2,,2839.0,40.8,,6.611214464722251e-05,2.5642066177328457,99.42,95.73,25.96,13.13
733,460000,海南,东部,2022,67314.0,23129.503407984423,39.689229844996355,60.42585926614027,,59.62,,2999.0,42.4,,5.225267069205759e-05,2.418743473969781,99.53,99.95,25.27,15.21
734,460000,海南,东部,2023,72958.0,25490.891658676894,40.05006758679567,60.85522830808349,,58.42,,3169.0,42.1,,4.6350248967051594e-05,1.9795816733067728,99.82,99.85,25.37,
735,460000,海南,东部,2024,75903.0,24294.847328244272,38.824191108185055,60.61343044721953,,,,,,,,,,,,
736,500000,重庆,西部,1990,,,,,,,,,,,,,,,,
737,500000,重庆,西部,1991,,,,,,,,,,,,,,,,
738,500000,重庆,西部,1992,1645.0,,,32.454054054054055,,,,,,,,,,,,
739,500000,重庆,西部,1993,2165.0,,,31.97512682048764,,,,,,,,,,,,
740,500000,重庆,西部,1994,2951.0,,,31.320844767927454,,,,,,,,,,,,
741,500000,重庆,西部,1995,3957.0,,,32.664072174066874,,,,,,,,,,,,
742,500000,重庆,西部,1996,4613.0,,69.17652984134978,34.95174909529554,,,,,,,,,,,,
743,500000,重庆,西部,1997,5306.0,,58.716958716958715,36.66819642037632,2.9,,,,,,,,,,,
744,500000,重庆,西部,1998,5649.0,,56.560114503816784,39.18269230769231,3.5,,,,,,,,,,,
745,500000,重庆,西部,1999,5890.0,,51.07161874334398,40.99419362483707,3.5,,,,,,,,,,,
746,500000,重庆,西部,2000,6383.0,2258.336258336258,46.49328501385632,42.09428681192031,3.5,,,443.3134433134434,,,,,,,,
747,500000,重庆,西部,2001,7096.0,2471.898197242842,44.67270048410861,42.916708031370995,3.9,,,571.2265818310357,,,,,,,,
748,500000,重庆,西部,2002,8079.0,2711.7981520966596,51.61511802785588,43.24502149311343,4.1,,,711.087420042644,,,,,,,,
749,500000,重庆,西部,2003,9311.0,2980.734926864074,47.29785116224603,42.76647805474843,4.1,,,858.0092757759544,,,,,,,,
750,500000,重庆,西部,2004,10934.0,3419.262441818833,50.69746285252198,40.74521980715803,4.1,,,1018.6179735051916,,44.29416571335185,0.02598463801274718,,63.52,76.81,6.2,7.71
751,500000,重庆,西部,2005,12335.0,4388.134381701215,52.69518826305529,41.58740285349727,4.1,,,1192.2802001429593,,42.11257394733789,0.024272126203456677,,68.84,79.38,6.64,8.7
752,500000,重庆,西部,2006,13915.0,5097.934472934473,53.46571308371898,42.23264877060739,4.0,,,1339.3874643874642,23.5,37.244058149373124,0.02204958592928749,,75.84,81.38,8.14,9.29
753,500000,重庆,西部,2007,16966.0,6076.349431818181,57.613972071474116,43.26409122351018,4.0,,,1469.1051136363635,31.8,28.138428322887627,0.01731821326010858,5.026093520217597,88.4,91.49,9.16,9.64
754,500000,重庆,西部,2008,20865.0,7562.874251497006,56.84688142833241,45.64285108907534,4.0,25.16,,2192.0,35.9,24.597508263412152,0.013255360623781676,5.209594393755967,90.87,93.2,9.49,9.56
755,500000,重庆,西部,2009,23346.0,8670.863938440014,50.70622015494277,45.907505412557136,4.0,28.28,,2317.0,38.5,22.111649025739716,0.011217524657204716,3.8735691786175885,91.83,94.6,9.78,7.85
756,500000,重庆,西部,2010,28084.0,10575.736568457538,55.707882787997946,47.01251038399067,3.9,31.4,35.0,2413.0,40.6,15.884468029707513,0.008919693005839831,4.037939427982962,92.02,94.05,9.37,7.23
757,500000,重庆,西部,2011,34864.0,12847.486413043478,57.906265562749006,47.19718143526355,3.5,34.72,37.0,2522.0,40.2,12.936464197142069,0.005775892611108923,3.922201817729084,93.03,93.41,10.43,8.8
758,500000,重庆,西部,2012,39180.0,14800.0,55.91886710697357,46.63573486037567,3.3,44.42,41.0,2734.0,42.9,11.420908291218932,0.004870897079876503,4.2243858243937025,93.32,93.84,10.67,9.0
759,500000,重庆,西部,2013,43527.0,16791.09930255729,55.29344148804158,46.80601185176088,3.4,49.64,44.0,2894.0,41.7,10.941002179987104,0.00420415118671129,3.740676881278002,93.09,96.25,11.23,11.57
760,500000,重庆,西部,2014,48311.0,18766.677620768976,58.16565235943699,46.8995746659555,3.5,53.69,46.0,3017.0,40.6,9.971553221460907,0.0036030306760212803,3.193025036390983,94.27,96.78,11.68,11.18
761,500000,重庆,西部,2015,52480.0,24975.895765472313,56.82568565400844,48.40746859511861,3.6,58.53,48.0,3071.0,40.3,9.338798665876999,0.0030909260933262676,3.7112341772151898,95.34,96.87,12.05,11.03
762,500000,重庆,西部,2016,58327.0,28065.594855305466,55.67255816742923,50.05104588581257,3.7,62.61,52.0,3059.0,40.8,11.211285579537257,0.0007174166343006158,3.4034599343796925,96.11,97.13,12.23,10.7
763,500000,重庆,西部,2017,64171.0,31073.155216284984,51.942678978294765,51.50526006289152,3.4,67.11,,3084.0,40.3,,0.0006099779231846429,3.573339360004428,96.37,98.05,12.67,11.5
764,500000,重庆,西部,2018,68460.0,33845.08378122036,49.8913223003997,52.65647002149263,3.0,70.96,,3081.0,40.4,,0.00042475728155339805,3.5276759268435023,97.39,98.28,13.52,9.51
765,500000,重庆,西部,2019,74337.0,36733.06148055207,44.0402419301604,53.640207067754545,2.6,74.19,,3258.0,41.8,,0.00031771852680273494,3.5676859858736547,97.36,97.89,14.38,10.1
766,500000,重庆,西部,2020,78294.0,37252.72670613898,42.80489175410456,52.985456084723694,4.5,73.5,,3438.0,43.1,,0.0002695536192065939,3.6720849211781896,96.16,94.69,14.65,10.05
767,500000,重庆,西部,2021,87450.0,44386.67496886675,47.268286226024074,53.20347754235628,2.9,74.95,,3605.0,42.6,,0.00018021675873392383,3.3867211575450975,98.19,96.26,15.95,9.38
768,500000,重庆,西部,2022,88953.0,44505.44662309368,42.99037150734655,54.297472363268604,,78.06,,3838.0,44.6,,0.00016062373801883394,3.596735591495206,98.82,98.57,16.64,10.82
769,500000,重庆,西部,2023,94147.0,48980.25697273583,46.01267588640716,54.30938969939428,,80.1,,4012.0,42.3,,0.00011875617830676248,3.484737659673941,99.66,99.92,17.35,
770,500000,重庆,西部,2024,100903.0,50753.60501567398,46.170349405027686,57.05148913435135,,,,,,,,,,,,
771,510000,四川,西部,1990,,,76.5712682379349,,3.7,,,,,,,,,,,
772,510000,四川,西部,1991,,,81.15537130497476,,3.4,,,,,,,,,,,
773,510000,四川,西部,1992,1477.0,,81.35579427083334,30.892720631954475,3.6,,,,,,,,,,,
774,510000,四川,西部,1993,1854.0,,88.45271317829457,30.704528631989774,3.5,,,,,,,,,,,
775,510000,四川,西部,1994,2338.0,,54.80116926810435,31.043269711202154,3.7,,,,,,,,,,,
776,510000,四川,西部,1995,3043.0,,57.243498817966895,32.73575638506877,3.7,,,,,,,,,,,
777,510000,四川,西部,1996,3550.0,,62.300849171047304,32.928230664763035,3.7,,,,,,,,,,,
778,510000,四川,西部,1997,4032.0,,62.849872773536894,33.80842202683943,3.9,,,,,,,,,,,
779,510000,四川,西部,1998,4294.0,,61.47446483656872,35.62937163581935,3.7,,,,,,,,,,,
780,510000,四川,西部,1999,4540.0,,58.17881705639615,37.63941793866981,3.7,,,,,,,,,,,
781,510000,四川,西部,2000,4956.0,1829.3912834674031,51.73893805309735,39.44554757904384,4.0,,,294.87333413374955,,,,,,,,
782,510000,四川,西部,2001,5376.0,2063.6129190715956,45.63541491331426,40.52171887737277,4.3,,,388.9230013508535,,,,,,,,
783,510000,四川,西部,2002,5890.0,2281.2577065351416,41.59944129300761,41.13650793650794,4.5,,,508.50801479654746,,,,,,,,
784,510000,四川,西部,2003,6565.0,2557.6076320939333,45.963402976922026,41.09647974262093,4.4,,,627.0792563600783,,,,,,,,
785,510000,四川,西部,2004,7751.0,2946.8479604449935,43.09187377827422,40.21573604060914,4.4,,,787.7626699629171,,38.34390862944162,0.020066624365482233,,81.75,97.49,10.58,7.57
786,510000,四川,西部,2005,8828.0,3657.452508524111,44.32349516716258,39.34879584207674,4.6,,,944.2279590842669,,36.36112230575745,0.018065843049514307,,82.19,97.22,10.9,7.63
787,510000,四川,西部,2006,10371.0,4250.826294528094,45.09351343327891,37.93659575970899,4.5,,,1053.4949198188274,33.5,27.603446855097882,0.015079991053244963,,71.82,80.83,9.46,8.24
788,510000,四川,西部,2007,12963.0,5051.802633197983,48.36822747608193,37.75574933015215,4.2,,,1130.0602928509907,34.2,23.94997206994821,0.011159712557161928,4.045181424908904,78.92,86.55,10.33,9.64
789,510000,四川,西部,2008,15685.0,6076.185795035636,35.32451853786078,38.02699863595741,4.6,27.36,,1637.0,35.3,20.565920885530172,0.008999545319138928,2.684115394919341,81.09,88.09,10.78,11.06
790,510000,四川,西部,2009,17387.0,7035.675015271839,32.71182381249443,37.89128014319338,4.3,30.43,,1732.0,36.4,18.51288881372176,0.008000366439755895,3.1879400231708406,83.38,89.68,11.5,11.18
791,510000,四川,西部,2010,21230.0,8557.86202610317,36.67631130254252,38.06546374994195,4.1,33.5,24.0,1790.0,37.9,14.867806883098789,0.0065661139751985505,2.653605700355568,84.39,90.8,11.84,9.65
792,510000,四川,西部,2011,26136.0,10281.25,43.739572014066546,38.86722182899543,4.2,36.95,28.0,1904.0,38.2,13.29406343671767,0.004284852429112294,2.4770477355762237,87.09,91.83,12.14,12.6
793,510000,四川,西部,2012,29627.0,11901.051329622758,44.41890372207617,39.915727518978024,4.0,48.31,32.0,2037.0,38.7,11.857380530381567,0.003613349831120623,2.4938589137019145,87.96,92.04,12.72,13.34
794,510000,四川,西部,2013,32750.0,13566.407695153533,44.753902564094325,40.884305000377104,4.1,52.63,35.0,2140.0,38.4,11.60147824119466,0.0030797948563240063,2.5711672408056057,89.68,91.76,13.24,14.59
795,510000,四川,西部,2014,35563.0,15226.686325101364,45.03818815556579,42.5176437197357,4.2,56.46,37.0,2244.0,37.5,11.466323772208243,0.0027565391657696264,2.481972630473133,90.89,91.12,13.32,14.22
796,510000,四川,西部,2015,37150.0,16879.453391898485,44.75405834737133,44.45521059916947,4.1,59.58,40.0,2312.0,38.7,11.258552501483093,0.0023650385604113114,2.2582163945096436,92.46,93.05,13.63,13.52
797,510000,四川,西部,2016,40297.0,18809.47763907405,42.313604007546616,47.641866710925356,4.2,62.84,44.0,2314.0,39.9,10.64701178387676,0.0009291307693468322,2.077066859452433,91.78,93.07,13.73,12.9
798,510000,四川,西部,2017,45835.0,20996.98395463868,41.15110710358883,50.31908634985793,4.0,67.87,,2339.0,40.0,,0.0005888389688986443,2.2743583491666244,91.22,94.91,13.72,14.46
799,510000,四川,西部,2018,51658.0,23243.23999519289,40.28853978882307,52.253153109055276,3.5,71.8,,2409.0,40.5,,0.00044683127399358077,2.337368014421839,93.7,95.7,14.63,13.18
800,510000,四川,西部,2019,55619.0,25620.1652496707,39.33864635003097,52.558892929397494,3.3,75.43,,2546.0,41.8,,0.00040592013596814754,2.580262983696634,94.95,95.89,16.38,13.25
801,510000,四川,西部,2020,58009.0,25014.215744833356,38.04862062375988,52.45022844607189,3.6,77.7,,2754.0,42.5,,0.00033627756610091214,2.357628762320802,97.41,98.28,18.13,12.1
802,510000,四川,西部,2021,64610.0,29046.106067845198,42.55779180772649,52.647907114332206,3.6,79.08,,2925.0,43.1,,0.00025107232657890847,1.948609492594749,98.12,98.66,17.89,9.03
