row_id,admincode,region,zone,year,urir,rrd
288,360000,江西,中部,2024,2.09562,
289,130000,河北,东部,2007,2.671138,30.520733
290,130000,河北,东部,2008,2.744258,31.477833
291,130000,河北,东部,2009,2.792645,32.752085
292,130000,河北,东部,2010,2.661955,32.582019
293,130000,河北,东部,2011,2.505357,33.341804
294,130000,河北,东部,2012,2.478794,34.966478
295,130000,河北,东部,2013,2.419134,38.43717
296,130000,河北,东部,2014,2.370018,40.156419
297,130000,河北,东部,2015,2.366483,43.15493
298,130000,河北,东部,2016,2.370081,45.972957
299,130000,河北,东部,2017,2.371555,48.429399
300,130000,河北,东部,2018,2.350296,50.078889
301,130000,河北,东部,2019,2.324725,52.57329
302,130000,河北,东部,2020,2.264286,56.208054
303,130000,河北,东部,2021,2.188844,58.604008
304,130000,河北,东部,2022,2.131688,60.070299
305,130000,河北,东部,2023,2.109,62.572674
306,130000,河北,东部,2024,2.071111,
307,410000,河南,中部,2007,2.789605,34.28246
308,410000,河南,中部,2008,2.761344,35.12931
309,410000,河南,中部,2009,2.761058,36.05753
310,410000,河南,中部,2010,2.645056,37.257953
311,410000,河南,中部,2011,2.526971,38.494318
312,410000,河南,中部,2012,2.4919,39.385172
313,410000,河南,中部,2013,2.424016,40.192628
314,410000,河南,中部,2014,2.375276,40.867925
315,410000,河南,中部,2015,2.356583,42.023346
316,410000,河南,中部,2016,2.328204,46.265974
317,410000,河南,中部,2017,2.323925,47.643548
318,410000,河南,中部,2018,2.304533,49.055402
319,410000,河南,中部,2019,2.255408,50.735779
320,410000,河南,中部,2020,2.157313,51.929587
321,410000,河南,中部,2021,2.115725,53.299257
322,410000,河南,中部,2022,2.058298,55.036565
323,410000,河南,中部,2023,2.006383,57.267866
324,410000,河南,中部,2024,1.970323,
325,330000,浙江,东部,2007,2.29983,38.667271
326,330000,浙江,东部,2008,2.249824,39.909502
327,330000,浙江,东部,2009,2.23634,40.837461
328,330000,浙江,东部,2010,2.183107,44.688995
329,330000,浙江,东部,2011,2.137071,45
330,330000,浙江,东部,2012,2.141339,45.376956
331,330000,浙江,东部,2013,2.119584,46.356663
332,330000,浙江,东部,2014,2.085015,46.996124
333,330000,浙江,东部,2015,2.069302,48.660714
334,330000,浙江,东部,2016,2.065818,50.204082
335,330000,浙江,东部,2017,2.054055,51.511992
336,330000,浙江,东部,2018,2.035529,52.578416
337,330000,浙江,东部,2019,2.014393,54.690949
338,330000,浙江,东部,2020,1.963639,55.277778
339,330000,浙江,东部,2021,1.943059,55.760626
340,330000,浙江,东部,2022,1.897192,56.082239
341,330000,浙江,东部,2023,1.86046,55.854801
342,330000,浙江,东部,2024,1.828893,
343,460000,海南,东部,2007,2.736642,35.201794
344,460000,海南,东部,2008,2.692576,36.936937
345,460000,海南,东部,2009,2.701645,40.227273
346,460000,海南,东部,2010,2.736076,43.119266
347,460000,海南,东部,2011,2.639906,46.38009
348,460000,海南,东部,2012,2.615916,48.654709
349,460000,海南,东部,2013,2.546126,50.797267
350,460000,海南,东部,2014,2.470191,53.089245
351,460000,海南,东部,2015,2.427335,56.338028
352,460000,海南,东部,2016,2.402516,61.111111
353,460000,海南,东部,2017,2.388544,67.892157
354,460000,海南,东部,2018,2.383945,79.301746
355,460000,海南,东部,2019,2.38318,85.39604
356,460000,海南,东部,2020,2.278825,90.79602
357,460000,海南,东部,2021,2.224663,93.21608
