dataset_id,english_file,chinese_file,rows,columns,source_paths,first_year_detected,latest_year_detected,coverage_status,checked_at
2007-20024__Sheet9__5091a650,data_processed/english/2007-20024__Sheet9__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet9__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2010-2023_1__dataset__07541213,data_processed/english/2010-2023_1__dataset__07541213_en.csv,data_processed/chinese/2010-2023_1__dataset__07541213_cn.csv,434,3,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/地方财政一般预算支出2010-2023(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/地方财政一般预算支出2010-2023.xls,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2010-2023_1__dataset__3ffd5fc2,data_processed/english/2010-2023_1__dataset__3ffd5fc2_en.csv,data_processed/chinese/2010-2023_1__dataset__3ffd5fc2_cn.csv,434,3,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/地方财政一般预算收入2010-2023(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/地方财政一般预算收入2010-2023.xls,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2010-2023_1__dataset__c2e71f5c,data_processed/english/2010-2023_1__dataset__c2e71f5c_en.csv,data_processed/chinese/2010-2023_1__dataset__c2e71f5c_cn.csv,434,3,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/国内生产总值2010-2023(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/政府干预程度_20250521_164937/国内生产总值2010-2023.xls,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2_2000-2023_1__dataset__7f72ed7d,data_processed/english/2_2000-2023_1__dataset__7f72ed7d_en.csv,data_processed/chinese/2_2000-2023_1__dataset__7f72ed7d_cn.csv,744,7,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(2)2000-2023年财政支持力度(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(2)2000-2023年财政支持力度.xls,2000.0,2023.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
31_0_1_1__GDP__d3d8a491,data_processed/english/31_0_1_1__GDP__d3d8a491_en.csv,data_processed/chinese/31_0_1_1__GDP__d3d8a491_cn.csv,32,25,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1)(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1).xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
31_0_1_1__dataset__d3d8a491,data_processed/english/31_0_1_1__dataset__d3d8a491_en.csv,data_processed/chinese/31_0_1_1__dataset__d3d8a491_cn.csv,97,64,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1)(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1).xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
31_0_1_1__over__d3d8a491,data_processed/english/31_0_1_1__over__d3d8a491_en.csv,data_processed/chinese/31_0_1_1__over__d3d8a491_cn.csv,125,32,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1)(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间矩阵/省空间矩阵-00/31个省市的邻接矩阵、地理矩阵和经济地理空间矩阵0(1).xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
3_2000-2023_1__dataset__35774afa,data_processed/english/3_2000-2023_1__dataset__35774afa_en.csv,data_processed/chinese/3_2000-2023_1__dataset__35774afa_cn.csv,744,5,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(3)2000-2023年经济发展水平.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(3)2000-2023年经济发展水平(1).xls,2000.0,2023.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
4_2000-2023_1__Sheet2__80f67c8d,data_processed/english/4_2000-2023_1__Sheet2__80f67c8d_en.csv,data_processed/chinese/4_2000-2023_1__Sheet2__80f67c8d_cn.csv,744,9,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(4)2000-2023年社会消费水平.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(4)2000-2023年社会消费水平(1).xls,2000.0,2023.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
5_2000-2023_1__dataset__5b3cb025,data_processed/english/5_2000-2023_1__dataset__5b3cb025_en.csv,data_processed/chinese/5_2000-2023_1__dataset__5b3cb025_cn.csv,744,8,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(5)2000-2023年城镇化水平.xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(5)2000-2023年城镇化水平(1).xls,2000.0,2023.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
6_0__dataset__294cb3da,data_processed/english/6_0__dataset__294cb3da_en.csv,data_processed/chinese/6_0__dataset__294cb3da_cn.csv,1085,3059,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/中国省级数据库6.0版.xlsx,1900.0,2099.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
6_7_2000-2023_1__dataset__7b74f65d,data_processed/english/6_7_2000-2023_1__dataset__7b74f65d_en.csv,data_processed/chinese/6_7_2000-2023_1__dataset__7b74f65d_cn.csv,744,13,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(6)(7)2000-2023年产业结构(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(6)(7)2000-2023年产业结构.xls,2000.0,2023.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
